timestamp_ms,symbol,side,entry_price,base_sl_pct,base_tp_pcts,ai_sl_pct,ai_tp_pcts,pnl_pct,reason
1774519915777,SIRENUSDT,LONG,1.98426000,2.000000,2.000000;4.000000;6.000000,1.800000,1.800000;3.600000;5.400000,,
1774520446291,MUSDT,SHORT,2.19640000,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774520460819,KATUSDT,SHORT,0.01427000,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774520712582,KNCUSDT,LONG,0.14770000,2.000000,2.000000;4.000000;6.000000,1.900000,1.900000;3.800000;5.700000,,
1774520764264,KNCUSDT,LONG,0.14770000,2.000000,2.000000;4.000000;6.000000,1.900000,1.900000;3.800000;5.700000,,
1774520832593,KNCUSDT,LONG,0.14770000,2.000000,2.000000;4.000000;6.000000,1.900000,1.900000;3.800000;5.700000,,
1774520902004,KNCUSDT,LONG,0.15390000,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774520944761,KNCUSDT,LONG,0.15390000,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774521001526,BSBUSDT,SHORT,0.15894000,2.000000,2.000000;4.000000;6.000000,1.900000,1.900000;3.800000;5.700000,,
1774521158426,MUSDT,LONG,2.26140000,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774521193099,MUSDT,LONG,2.26140000,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774521197599,KNCUSDT,LONG,0.14540000,2.000000,2.000000;4.000000;6.000000,1.876210,1.988009;3.983782;5.989860,,
1774521253967,SIRENUSDT,LONG,2.04739000,2.000000,2.000000;4.000000;6.000000,1.710000,1.710000;3.420000;5.130000,,
1774521254041,KNCUSDT,LONG,0.14540000,2.000000,2.000000;4.000000;6.000000,1.876210,1.988009;3.983782;5.989860,,
1774521317391,KNCUSDT,SHORT,0.14360000,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774521339244,SIRENUSDT,LONG,2.04739000,2.000000,2.000000;4.000000;6.000000,1.710000,1.710000;3.420000;5.130000,,
1774521429348,KNCUSDT,SHORT,0.14360000,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774521667040,KNCUSDT,SHORT,0.14020000,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774521728099,KNCUSDT,SHORT,0.14020000,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774523381775,PIPPINUSDT,LONG,0.05966000,2.000000,2.000000;4.000000;6.000000,1.710000,1.710000;3.420000;5.130000,,
1774523419347,BSBUSDT,SHORT,0.15288000,2.000000,2.000000;4.000000;6.000000,1.900000,1.900000;3.800000;5.700000,,
1774523460951,KATUSDT,SHORT,0.01441000,2.000000,2.000000;4.000000;6.000000,1.900000,1.900000;3.800000;5.700000,,
1774523792755,DYMUSDT,LONG,0.03172000,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774523832610,DYMUSDT,LONG,0.03172000,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774523883544,DYMUSDT,LONG,0.03172000,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774524152870,DYMUSDT,LONG,0.03004000,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774524186262,DYMUSDT,LONG,0.03004000,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774524248314,DYMUSDT,LONG,0.03004000,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774524640964,CYSUSDT,LONG,0.35430000,2.000000,2.000000;4.000000;6.000000,1.800000,1.800000;3.600000;5.400000,,
1774524641503,BSBUSDT,LONG,0.15528000,2.000000,2.000000;4.000000;6.000000,1.900000,1.900000;3.800000;5.700000,,
1774524776138,CYSUSDT,LONG,0.35430000,2.000000,2.000000;4.000000;6.000000,1.800000,1.800000;3.600000;5.400000,,
1774524776183,BSBUSDT,LONG,0.15528000,2.000000,2.000000;4.000000;6.000000,1.900000,1.900000;3.800000;5.700000,,
1774525623331,MUSDT,SHORT,2.13330000,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774525640978,BEATUSDT,LONG,0.52710000,2.000000,2.000000;4.000000;6.000000,1.800000,1.800000;3.600000;5.400000,,
1774525885302,BEATUSDT,LONG,0.54840000,2.000000,2.000000;4.000000;6.000000,1.800000,1.800000;3.600000;5.400000,,
1774526136338,BEATUSDT,LONG,0.53790000,2.000000,2.000000;4.000000;6.000000,1.800000,1.800000;3.600000;5.400000,,
1774526571785,KATUSDT,SHORT,0.01455000,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774526886672,CYSUSDT,LONG,0.34760000,2.000000,2.000000;4.000000;6.000000,1.800000,1.800000;3.600000;5.400000,,
1774527845893,MUSDT,SHORT,2.09400000,2.000000,2.000000;4.000000;6.000000,1.900000,1.900000;3.800000;5.700000,,
1774527867824,CYSUSDT,LONG,0.37560000,2.000000,2.000000;4.000000;6.000000,1.800000,1.800000;3.600000;5.400000,,
1774528074294,BASUSDT,SHORT,0.00997700,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774528142657,ONUSDT,SHORT,0.10184000,2.000000,2.000000;4.000000;6.000000,1.900000,1.900000;3.800000;5.700000,,
